FoodName,DiningHall,Breakfast,Lunch,Dinner,Mealtime,Vegan,Vegetarian,Halal,Image,Description
Cheese Scrambled Eggs,Commons,1,0,0,Breakfast,0,0,1,https://www.allrecipes.com/thmb/0VXMwCY9RVNrNvWcF_9v0iZpNqA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/JF_241160_CreamyCottageCheeseScrambled_4x3_12902-619d00dc88594ea9b8ed884a108db16d.jpg,"Fluffy scrambled eggs cooked with cheese, providing a savory and satisfying start to the day."
French Toast,Commons,1,0,0,Breakfast,0,0,0,https://sugarspunrun.com/wp-content/uploads/2023/08/French-Toast-recipe-1-of-1-500x375.jpg,"Classic French toast made with thick bread, topped with syrup for a sweet morning treat."
Applewood Smoked Bacon,Commons,1,0,0,Breakfast,0,0,0,https://cdn-hrdirectnew.pressidium.com/wp-content/uploads/Applewood-Smoked-Bacon-667x500.jpg,"Smoky and crispy bacon strips, perfect for adding flavor to any breakfast dish."
Chicken Sausage Patty,Commons,1,0,0,Breakfast,0,0,0,https://emilybites.com/wp-content/uploads/2024/09/Apple-Chicken-Sausage-Patties-2b.jpg,"Savory chicken sausage patty, offering a flavorful protein option to start the day."
Potatoes O'Brien,Commons,1,0,0,Breakfast,1,1,1,https://www.kyleecooks.com/wp-content/uploads/2023/11/Breakfast-Potatoes-19.jpg,"Crispy potatoes mixed with bell peppers and onions, providing a hearty breakfast side."
Sweet Potato Tater Tots,Commons,1,0,0,Breakfast,1,1,1,https://jessicainthekitchen.com/wp-content/uploads/2021/10/sweet-potato-tater-tots00916.jpg,"Sweet potato tater tots, crispy on the outside and soft on the inside, perfect for a sweet touch."
Oatmeal,Commons,1,0,0,Breakfast,0,0,0,https://www.allrecipes.com/thmb/2-QBwvkkuKObAQDVL4B1R8ReFSU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/265505-maple-and-brown-sugar-oatmeal-DDMFS-beauty_3x4-3228-ac98030b91b84fca9e80c524332e5d01.jpg,"Warm oatmeal topped with your choice of sweet toppings, offering a comforting and nutritious breakfast."
Denver Scramble,Commons,1,0,0,Breakfast,0,0,0,https://www.thechunkychef.com/wp-content/uploads/2018/04/Denver-Omelet-Scrambled-Eggs-Skillet-feat.jpg,"Flavorful scramble with eggs, bell peppers, onions, and cheese, providing a hearty breakfast option."
Ham Steaks,Commons,1,0,0,Breakfast,0,0,0,https://www.budgetbytes.com/wp-content/uploads/2021/12/Glazed-Ham-Steaks-close.jpg,"Juicy ham steaks, grilled to perfection, offering a savory protein option for breakfast."
Apple Monkey Bread,Commons,1,0,0,Breakfast,0,0,0,https://goboldwithbutter.com/BoldWithButter/media/recipe_images/Imported/caramel-apple-monkey-bread.jpg?ext=.jpg,"Soft and sweet apple monkey bread, perfect for sharing or enjoying on your own."
